1	10077	1405296000
1	11753	1405296000
1	9840	1405296000
2	59	1402790400
2	10956	1399593600
2	4137	1387843200
2	4573	1384387200
2	3310	1357430400
3	9405	1386892800
3	10254	1386892800
3	454	1386028800
3	8877	1386028800
3	4387	1385337600
3	6363	1385337600
3	4209	1385337600
4	10321	1368835200
4	9767	1367798400
4	3496	1367798400
4	10148	1367452800
4	8969	1366416000
4	10131	1366416000
5	10228	1397692800
5	8824	1397692800
5	10163	1364688000
5	8072	1364688000
5	5098	1364688000
5	8936	1351814400
6	9201	1396051200
6	7450	1396051200
6	4644	1395964800
6	9212	1395446400
6	6005	1367366400
6	2714	1367366400
6	8030	1366588800
6	8662	1358380800
6	3906	1354752000
6	3615	1351123200
7	9622	1396224000
7	9857	1396224000
7	9581	1396224000
8	3082	1358812800
8	3768	1358121600
8	2939	1358121600
8	2420	1357689600
8	4277	1357689600
8	5381	1356134400
9	2922	1385683200
9	7857	1384560000
9	948	1383264000
9	1178	1376092800
9	599	1375228800
10	10322	1376870400
10	6606	1376092800
10	7397	1376092800
10	10042	1376092800
10	8613	1376092800
10	1521	1376092800
10	10364	1376092800
10	8466	1376092800
10	7862	1373932800
10	3905	1373932800
10	6607	1373932800
10	9560	1373932800
10	3904	1373932800
10	3896	1366243200
10	7560	1366243200
10	3000	1366243200
10	7140	1356393600
11	4235	1397520000
11	7042	1397520000
11	278	1397520000
11	1219	1397520000
11	3531	1389830400
11	10842	1387756800
12	8748	1396569600
12	3313	1385337600
12	1190	1385337600
12	10094	1376697600
12	455	1376697600
12	10113	1354579200
13	8043	1400630400
13	4196	1400630400
13	3227	1400630400
13	11793	1400630400
13	4195	1400630400
14	5527	1386547200
14	5095	1386547200
14	6231	1368403200
14	7298	1367452800
14	5063	1364169600
14	6969	1364169600
15	10287	1375660800
15	3514	1375660800
15	8199	1375660800
15	187	1374537600
16	8844	1373414400
16	664	1373414400
16	7224	1373414400
16	2244	1373414400
17	10035	1383523200
17	10609	1383523200
17	13	1383523200
17	7122	1383523200
17	10230	1383523200
17	6281	1372118400
17	11361	1372118400
18	9194	1358812800
18	10258	1358812800
18	10347	1358812800
